ip	cid	js	dat	geo
72.84.170.150	35	1424501478	27:9	2
56.204.145.106	76	1510237857	2:3	0
218.183.193.66	42	1526751849	11:7	6
207.206.138.48	6	1029200934	19:8	5
63.174.7.160	23	596477346	1:12	1
169.232.119.217	86	1375685659	12:1	7
82.85.85.166	73	799039503	23:9	0
229.163.66.8	27	795146307	2:12	7
194.180.233.207	2	1453717449	9:2	0
240.180.89.78	65	962706524	5:8	1
192.68.88.175	41	1314048256	11:2	4
249.155.139.228	64	762111415	21:12	8
14.173.198.45	29	201766207	15:5	7
65.32.19.50	28	1125661522	25:6	5
136.210.197.196	53	1965929065	7:4	0
194.74.220.15	51	1400405445	18:3	0
99.155.64.151	6	600282493	22:10	6
245.29.51.2	27	2110625819	22:12	7
36.120.102.144	69	861600351	19:10	0
41.12.16.57	31	175799600	27:11	0
193.250.21.132	65	218237945	26:9	2
28.147.61.156	98	1038313682	11:2	1
84.92.219.204	15	1318377243	1:1	2
192.31.233.156	19	1075239067	15:4	3
173.254.86.180	10	518661824	24:6	6
58.139.0.209	32	1567864310	6:10	3
238.12.77.9	39	306393440	1:10	6
49.220.33.48	82	843956606	6:2	3
154.188.174.94	85	84829477	11:1	7
128.209.237.100	13	1665171318	8:2	6
141.214.219.208	31	1950116861	29:8	3
60.31.188.68	96	710612418	21:9	0
5.234.161.199	69	958879891	3:8	0
73.18.114.18	97	1363371356	26:3	1
132.235.232.197	9	603806317	11:3	8
11.120.43.221	31	949556219	19:11	0
67.113.185.35	8	1001267582	1:1	2
199.77.242.167	67	317152789	9:7	2
10.16.12.237	41	704596123	8:8	4
135.71.30.70	95	1338887744	5:7	7
89.67.13.1	35	143719031	16:8	8
94.215.149.103	58	1299711066	18:7	6
19.199.61.159	80	751310275	29:4	5
39.112.121.81	21	1839035818	12:10	4
62.197.64.23	66	183444318	12:11	6
142.21.182.31	76	681420478	1:11	0
38.163.97.176	80	428311668	18:4	6
211.207.141.61	52	914896998	9:3	3
8.130.198.27	75	669621937	20:10	8
113.32.130.209	87	7529172	5:11	5
75.1.61.10	59	699269553	30:3	8
165.46.36.67	22	243338361	23:8	2
228.98.212.10	72	1164727042	23:11	7
134.130.137.12	93	8402427	9:7	7
159.119.86.172	40	184829237	30:6	3
108.207.201.240	71	2120966415	2:6	0
142.111.220.134	37	1350255238	18:2	6
151.5.61.109	42	1515425224	7:6	6
162.137.234.214	89	193481942	20:10	3
191.225.250.109	7	927486078	8:9	2
80.151.75.77	10	589933258	13:1	6
36.159.254.120	5	18711055	1:11	8
146.123.14.187	70	919819522	3:11	3
34.112.93.168	9	1278250205	23:2	5
207.2.191.49	64	1661795967	26:6	2
196.2.201.46	87	1968931472	13:10	8
215.77.194.135	75	1932365926	27:10	0
127.23.155.4	73	1963385148	16:3	2
162.156.150.125	75	1977338742	5:2	4
5.18.73.202	62	1237180986	7:3	3
217.82.226.51	44	634880173	28:9	6
168.135.42.125	56	934789504	23:10	2
172.233.85.182	3	1561902758	16:11	1
28.201.246.206	86	13257246	23:9	5
50.28.235.18	53	1066791525	6:2	1
167.122.212.43	27	1904018142	23:6	8
222.54.224.81	31	525080681	1:11	3
142.41.128.224	59	1993784818	21:10	6
135.163.104.159	49	894746109	29:12	6
187.28.127.239	59	463042289	11:7	7
197.153.177.141	72	58852039	17:7	3
28.142.20.24	27	226425919	20:2	0
128.110.226.64	56	1071484905	19:8	0
10.252.169.202	24	536265592	25:7	2
253.122.120.28	91	1118460906	15:3	8
64.221.6.49	94	910533673	7:7	8
3.102.137.78	56	1447762408	22:9	1
10.139.145.216	82	748712112	21:6	4
129.73.234.126	37	1546561200	30:4	3
87.33.128.203	17	223095514	14:3	2
91.120.154.109	56	3026780	23:10	1
200.39.223.189	47	367118411	22:3	3
169.117.240.46	22	1807545182	21:5	1
155.142.241.129	48	546327179	8:1	0
194.243.229.189	2	124350168	26:9	1
73.89.162.142	88	1550892811	19:6	0
42.249.78.34	89	1677898352	20:3	0
214.18.45.132	28	2072720687	15:7	6
200.49.81.193	87	1907964600	6:3	3
19.227.33.114	98	1345241855	5:3	3
175.107.118.7	92	1828750222	17:7	2
92.179.240.13	6	2080797886	21:8	3
64.116.241.106	21	1406198505	10:10	4
219.165.31.92	91	994109528	14:9	0
85.34.160.193	89	1189098139	28:5	5
202.226.225.64	85	2132542234	23:3	2
184.82.108.182	24	453706185	30:11	7
234.58.202.25	47	288591591	29:4	1
62.138.111.134	66	2145924327	2:7	0
165.53.28.60	40	843236257	0:3	7
166.30.112.33	54	1342320168	12:8	5
121.182.103.118	98	1361721911	9:7	0
175.35.50.156	96	996939907	13:9	1
169.190.199.223	59	1671309392	29:2	8
79.86.135.121	69	253772910	0:6	8
245.139.94.77	85	1097004610	9:6	7
166.226.118.90	72	1083144116	14:5	7
94.227.135.1	81	1478978703	1:6	3
223.172.105.118	47	560834774	22:4	7
162.146.121.226	95	1077232338	20:4	7
224.134.93.245	43	75047552	24:4	7
213.96.169.131	34	156266399	14:3	2
58.158.137.3	19	516359383	29:9	4
4.212.123.77	97	1338974071	28:1	6
172.4.214.114	47	1884180581	3:11	6
177.235.160.218	67	873715868	5:7	8
182.40.139.194	18	339681699	26:4	1
19.68.158.174	72	1827107359	15:4	8
177.74.32.223	94	2115619881	5:3	6
254.6.179.231	39	1621347887	8:2	4
166.153.65.157	0	284402119	26:10	2
69.45.16.239	38	1980473942	13:9	5
34.69.145.12	69	12659659	8:7	2
206.234.24.47	83	766520276	17:2	1
251.224.125.110	3	505314291	17:1	0
99.52.226.126	31	1807147802	9:6	0
220.15.168.186	20	75122328	11:8	7
209.48.106.155	30	808369861	7:5	3
191.100.57.194	16	735262931	26:4	6
138.69.68.148	33	2107917659	17:11	0
9.198.220.215	97	1123367770	7:4	6
231.231.12.132	48	105624705	6:3	8
159.218.35.67	20	1807619611	25:4	8
201.31.125.98	82	107564301	15:8	1
53.66.163.61	76	1858304170	22:9	3
96.186.9.238	19	1095632124	22:3	5
175.40.75.164	43	2038714529	12:12	5
165.32.13.96	58	872243947	16:7	1
103.96.231.172	70	881482085	20:1	8
128.199.27.205	43	543900259	11:12	8
163.157.55.195	13	976222116	9:9	2
62.60.117.222	31	1426267338	26:7	1
144.222.198.62	50	1214777148	17:6	3
233.82.169.160	18	559929483	10:8	8
121.242.213.138	89	2021575466	3:9	2
246.96.117.240	36	471004822	28:8	1
125.67.2.115	35	1186690404	4:3	3
10.213.124.195	2	2026137079	20:1	7
91.220.6.140	44	1142605702	2:2	6
53.128.200.91	35	579581421	27:8	4
82.221.222.27	7	1734108526	25:11	7
253.9.142.190	28	1797683332	3:9	5
107.221.26.127	60	1356079096	17:8	5
203.44.127.79	34	606818901	15:11	7
182.209.112.226	70	559843377	22:7	6
228.160.153.30	92	1115854770	6:5	4
184.7.77.48	35	1980205678	5:12	7
73.120.145.54	50	646700060	7:11	6
241.177.174.14	42	1977281763	2:3	3
119.0.19.73	80	92219024	3:6	2
184.130.119.180	21	881909352	9:8	3
145.231.46.156	91	808614860	12:1	7
228.61.157.213	74	1309478982	25:9	1
115.238.51.131	44	1548961604	1:12	0
97.246.71.80	70	1814112505	6:8	2
240.201.242.81	47	13321288	7:9	2
98.118.79.121	85	41221630	0:2	8
113.102.66.87	32	1916439094	21:8	5
153.63.90.92	27	1118337000	17:7	3
139.237.177.230	67	672346503	30:7	4
158.52.55.114	64	1707480576	12:2	2
82.17.162.0	3	190173912	18:5	8
0.129.194.111	65	1860091382	9:7	1
54.39.159.80	37	1567772139	25:11	5
95.162.249.79	8	693250086	23:7	5
239.169.114.188	1	696482835	16:10	0
243.168.228.182	58	418665017	23:10	4
252.53.198.89	7	1812109373	25:10	7
97.163.57.205	28	1299888095	27:11	6
149.57.9.112	71	346842704	23:7	2
40.130.84.14	61	993111207	4:1	4
249.50.104.218	53	877978697	13:3	8
100.77.136.31	78	1839094275	14:6	8
167.65.126.125	29	333527329	25:2	4
95.191.151.83	8	988750254	3:12	1
180.235.121.160	77	391352338	27:10	7
173.35.46.72	80	1142308547	26:7	1
88.6.74.125	19	1846198923	4:5	1
171.186.179.156	56	1576042239	6:2	7
246.49.221.123	13	919308209	30:8	3
79.2.44.223	68	1648892350	26:6	8
246.52.241.220	71	2122448369	0:7	4
231.221.180.172	67	267750251	19:4	0
80.152.226.190	81	1426502094	6:5	2
179.11.165.197	94	2125642288	0:8	8
23.33.229.134	9	1363143840	8:4	7
51.185.183.214	44	1230474213	25:4	5
134.87.89.36	46	874479290	23:2	8
166.167.118.171	41	1297073476	10:4	8
205.81.230.158	82	1662716402	11:10	4
6.140.101.13	17	2096435110	7:10	0
120.236.217.247	23	938210345	6:6	7
91.184.201.173	86	1305158794	19:5	5
236.188.106.53	26	106415393	18:1	4
68.201.240.123	87	244868463	30:1	5
163.234.163.46	35	86978441	17:9	6
70.32.33.117	30	17357444	14:10	3
242.40.234.112	70	239798954	14:10	3
221.199.219.45	90	43138025	26:1	7
121.68.206.191	24	181074176	23:12	5
8.127.89.187	55	1213992793	24:1	5
115.106.123.93	6	865175387	12:10	1
54.168.145.55	24	1284575016	29:7	3
185.27.121.96	48	1821352199	7:8	8
238.182.93.35	69	986597292	24:8	7
216.162.232.184	93	353103610	24:10	4
75.176.7.146	62	1374627149	7:4	0
51.238.17.150	12	1671889566	19:2	8
211.80.210.94	15	1073993606	14:11	6
43.144.237.56	48	1913139346	27:3	8
